Date,COST,LOW,TGT,WMT
2022-03-11,502.9147644042969,205.3336944580078,181.56134033203125,44.8570671081543
2022-03-14,501.5130310058594,209.30706787109375,183.131591796875,45.482242584228516
2022-03-15,517.122314453125,213.52078247070312,188.91253662109375,46.02846908569336
2022-03-16,518.1426391601562,213.7610321044922,189.12307739257812,45.892704010009766
2022-03-17,527.1060180664062,216.57937622070312,193.54434204101562,45.96242904663086
2022-03-18,535.2681274414062,217.77139282226562,198.29896545410156,46.098724365234375
2022-03-21,529.71875,210.31430053710938,195.6234130859375,45.71520233154297
2022-03-22,533.427978515625,211.1182403564453,195.42164611816406,45.57891082763672
2022-03-23,528.2788696289062,204.1416473388672,190.1143798828125,44.99252700805664
2022-03-24,532.1786499023438,202.52455139160156,190.3950958251953,45.271453857421875
2022-03-25,529.8904418945312,196.74923706054688,191.77232360839844,45.46796417236328
2022-03-28,538.948974609375,197.54388427734375,192.57061767578125,46.276222229003906
2022-03-29,543.497314453125,202.8941650390625,195.5619659423828,46.66609191894531
2022-03-30,549.6856689453125,193.5797119140625,194.7111053466797,47.50285720825195
2022-03-31,549.0946044921875,186.83416748046875,186.1667938232422,47.201744079589844
2022-04-01,548.8275146484375,187.0281982421875,184.6930389404297,47.86418914794922
2022-04-04,548.407958984375,188.6175079345703,188.08795166015625,47.87371063232422
2022-04-05,548.5892944335938,189.31060791015625,188.42127990722656,48.01000213623047
2022-04-06,557.6192626953125,185.4110870361328,189.43008422851562,49.12569808959961
2022-04-07,579.7985229492188,187.2499542236328,200.17623901367188,49.616981506347656
2022-04-08,572.1607055664062,190.9646453857422,204.6940155029297,49.892738342285156
2022-04-11,557.5048217773438,189.05184936523438,201.15872192382812,48.90382385253906
2022-04-12,554.348388671875,188.63604736328125,202.93954467773438,48.567848205566406
2022-04-13,563.62646484375,189.90199279785156,205.11514282226562,49.832515716552734
2022-04-14,562.9590454101562,185.9932403564453,208.08013916015625,49.78814697265625
2022-04-18,555.0733642578125,183.44287109375,210.0012969970703,49.40779495239258
2022-04-19,566.6874389648438,188.37869262695312,215.84365844726562,49.968807220458984
2022-04-20,575.4884643554688,193.6671142578125,218.71221923828125,50.59639358520508
2022-04-21,564.2462768554688,190.22503662109375,217.70339965820312,50.67246627807617
